S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path,Option_A_Image,Option_B_Image,Option_C_Image,Option_D_Image
1,Fundamentals of Nursing,1061,To avoid pulling the urinary catheter nurse should tape the catheter on patient's:,Upper thigh,Lower thigh,Hind leg,Foot,A,no,,,,,
2,Fundamentals of Nursing,1062,"During a retention catheter insertion or bladder irrigation, the nurse must use:",sterile equipment and wear sterile gloves,clean equipment & maintain surgical asepsis,sterile equipment & maintain medical asepsis,clean equipment and technique,A,no,,,,,
3,Fundamentals of Nursing,1063,Which one of the following solutions is not indicated for bladder irrigation?,Sodium bicarbonate,Boric acid,Potassium permanganate,Sodium nitrate,A,no,,,,,
4,Fundamentals of Nursing,984,"This comfort device is used to support hips and thighs, preventing external rotation and keeping the feet in alignment in case of paralysis, fracture of femur and hip surgery:",trochanter roll,sand bags,bed boards,bed block,A,no,,,,,
5,Fundamentals of Nursing,985,Trochanter roll is used to:,Prevent internal rotation of hip when patient is in recumbent position,Prevent external rotation of hip when patient is in recumbent position,Prevent internal rotation of hip when patient is in standing position,Prevent external rotation of hip when patient is in standing position,B,no,,,,,
6,Medical-Surgical Nursing,986,Which nursing intervention is appropriate for a client with skeletal traction?,Prone positioning,5-pound weight,Intermittent weights,Pin care,D,no,,,,,
7,Medical-Surgical Nursing,1007,Which crutch gait should be taught to a patient wearing prosthesis after a single leg amputation?,Tripod,Four point,Three-point,Swing-through,B,no,,,,,
8,Medical-Surgical Nursing,1008,A patient ambulating on crutches moves both the crutches forward together and then place his feet in between the crutches. Which of the following best describes this gait?,Swing through,Swing to,Three point,Four point,B,no,,,,,
9,Medical-Surgical Nursing,1009,Which type of crutch is frequently used by patient of all the ages on a short-term basis?,Platform crutch,Lofstrand crutch,Extensor crutch,Axillary crutch,D,no,,,,,
10,Medical-Surgical Nursing,1010,The crutch walking gait that can bear the weight by the strong leg is:,Tripod shuffling gaits,Four-point gait,Three-point gait,Two-point gait,C,no,,,,,
11,Anatomy and Physiology,1011,Injury to which nerve leads to 'wrist drops':,Axillary nerve,Median nerve,Radial nerve,Ulnar nerve,C,no,,,,,
12,Medical-Surgical Nursing,1012,Wrist drop is a condition in which:,Flexor muscles of wrist & digits not work,Extensor muscles of wrist & digits not work,Abductor muscles of wrist & digits not work,Adductor muscles of wrist & digits not work,B,no,,,,,
13,Medical-Surgical Nursing,1013,A patient with fracture of left tibia is using crutches for walking. A complication as a result of improper use of crutches for which regular assessment should be done is:,Foot drop,Venous thrombosis,Wrist drop,Cervical spondylosis,C,no,,,,,
14,Fundamentals of Nursing,1040,What nursing action will most help a client obtain maximum benefits after postural drainage?,Administer PRN oxygen,Place the client in a sitting position,Encourage the client to cough deeply,Encourage the client to rest for 30 minutes,C,no,,,,,
15,Fundamentals of Nursing,1041,Which one of following nursing actions has to be done before performing postural drainage,Administer sedatives,Encourage to drink more fluid,Administer saline nebulization,Recording the procedure,C,no,,,,,
16,Medical-Surgical Nursing,1042,A nurse is assisting a physician with the removal of a chest tube. The nurse most appropriately instructs the client to:,Stay very still,Inhale and exhale quickly,Exhale as the tube is pulled out,Perform Valsalva's maneuver,D,no,,,,,
17,Medical-Surgical Nursing,1043,Which instruction should nurse give a patient who is going to have a chest tube removed?,Hyperventilate just before tube is removed,Take a deep breath and hold it,Inhale as the tube is being pulled out,Avoid the Valsalva maneuver,B,no,,,,,
